שאלה,תשובות,תשובה נכונה,מושג,פרק,
"הנכונות לקבל את השונה ולנהוג בכבוד כלפי בני אדם בעלי דעות שונות, גם כאשר הן מעוררות התנגדות, היא הגדרה של...",עקרון הסובלנות / עקרון ההסכמיות / עקרון שלטון החוק,עקרון הסובלנות,עקרון הסובלנות,עקרונות הדמוקרטיה ושלטון החוק,
מדוע עקרון הסובלנות הכרחי לקיומו של חופש הביטוי בחברה?,ללא סובלנות אנשים יפחדו להביע דעות לא פופולריות / הסובלנות מחייבת להסכים עם כל דעה / הסובלנות קובעת אילו דעות מותר להשמיע,ללא סובלנות אנשים יפחדו להביע דעות לא פופולריות,עקרון הסובלנות,עקרונות הדמוקרטיה ושלטון החוק,
מפגינים עורכים מצעד בנושא שנוי במחלוקת. המשטרה מאבטחת את המצעד למרות מחאות של תושבים באזור. איזה עקרון בא כאן לידי ביטוי?,עקרון הסובלנות / עקרון הכרעת הרוב / זכויות חברתיות,עקרון הסובלנות,עקרון הסובלנות,עקרונות הדמוקרטיה ושלטון החוק,
הסכמה רחבה בין קבוצות בחברה על 'כללי המשחק' הדמוקרטיים ואופייה הבסיסי של המדינה נקראת...,עקרון ההסכמיות / עקרון הפלורליזם / עקרון שלטון העם,עקרון ההסכמיות,עקרון ההסכמיות,עקרונות הדמוקרטיה ושלטון החוק,
איזה מתח מובנה קיים בין עקרון הפלורליזם לעקרון ההסכמיות?,"פלורליזם מעודד שונות וריבוי דעות, בעוד הסכמיות מחפשת את המשותף והאחיד / פלורליזם מחייב אלימות, והסכמיות מונעת אותה / אין ביניהם מתח כלל","פלורליזם מעודד שונות וריבוי דעות, בעוד הסכמיות מחפשת את המשותף והאחיד",עקרון ההסכמיות,עקרונות הדמוקרטיה ושלטון החוק,
מדוע חשוב שתהיה הסכמיות גבוהה בחברה דמוקרטית?,היא מאפשרת יציבות חברתית ושמירה על קיום המדינה / היא מבטלת את הצורך בבחירות / היא מאפשרת לשלטון לשלוט ללא ביקורת,היא מאפשרת יציבות חברתית ושמירה על קיום המדינה,עקרון ההסכמיות,עקרונות הדמוקרטיה ושלטון החוק,
איזו גישה כלכלית-חברתית שמה דגש מרכזי על חירות הפרט והשוק החופשי?,הגישה הליברלית / הגישה הסוציאל-דמוקרטית / הגישה הטוטליטרית,הגישה הליברלית,גישה ליברלית,גישות כלכליות-חברתיות,
כיצד הגישה הליברלית רואה את תפקיד המדינה בכלכלה?,המדינה צריכה להתערב כמה שפחות ולאפשר לתחרות החופשית לנווט את השוק / המדינה צריכה לספק את כל השירותים לאזרח בחינם / המדינה צריכה להלאים את כל החברות הפרטיות,המדינה צריכה להתערב כמה שפחות ולאפשר לתחרות החופשית לנווט את השוק,גישה ליברלית,גישות כלכליות-חברתיות,
שר האוצר החליט להפריט חברה ממשלתית ולמכור אותה לאנשי עסקים פרטיים. מאיזו גישה הוא ככל הנראה מונע?,הגישה הליברלית / הגישה הסוציאל-דמוקרטית / גישת מדינת הרווחה,הגישה הליברלית,גישה ליברלית,גישות כלכליות-חברתיות,
איזו גישה חברתית-כלכלית שמה דגש על השוויון החברתי-כלכלי ועל צמצום פערים בחברה?,הגישה הסוציאל-דמוקרטית / הגישה הליברלית / הגישה הקפיטליסטית,הגישה הסוציאל-דמוקרטית,גישה סוציאל-דמוקרטית,גישות כלכליות-חברתיות,
"לפי הגישה הסוציאל-דמוקרטית, מהי חובתה של המדינה כלפי אזרחיה?",להבטיח רמת חיים בסיסית ורשת ביטחון סוציאלית לכל אזרח / להימנע לחלוטין מגביית מסים / לאפשר לכוחות השוק לפעול ללא פיקוח,להבטיח רמת חיים בסיסית ורשת ביטחון סוציאלית לכל אזרח,גישה סוציאל-דמוקרטית,גישות כלכליות-חברתיות,
ממשלה מעלה את מס ההכנסה לעשירים ומפנה את הכסף לסבסוד מעונות יום ותרופות. איזו גישה היא מיישמת?,הגישה הסוציאל-דמוקרטית / הגישה הליברלית / גישת השוק החופשי,הגישה הסוציאל-דמוקרטית,גישה סוציאל-דמוקרטית,גישות כלכליות-חברתיות,
"מהי ההגדרה המדויקת של ""ריבונות"" במדינה?",היכולת לנהל ענייני פנים וחוץ ללא התערבות גורם זר / היכולת של הצבא לכבוש שטחים חדשים / הזכות של האזרחים להפגין נגד הממשלה,היכולת לנהל ענייני פנים וחוץ ללא התערבות גורם זר,ריבונות,רקע היסטורי והכרזת העצמאות,
איזה מהבאים הוא ביטוי לריבונות המדינה בענייני חוץ?,חתימה על הסכמי שלום עם מדינות שכנות / חקיקת חוקים בנושא חינוך / קיום בחירות לרשויות המקומיות,חתימה על הסכמי שלום עם מדינות שכנות,ריבונות,רקע היסטורי והכרזת העצמאות,
מדינה זרה מנסה לכפות על ישראל לשנות את מערכת המשפט שלה. איזו זכות של מדינת ישראל נפגעת כאן?,הזכות לריבונות / הזכות לביטחון / עקרון שלטון העם,הזכות לריבונות,ריבונות,רקע היסטורי והכרזת העצמאות,
מהו חלקו המבצעי (המעשי) של מסמך הכרזת העצמאות?,ההכרזה על הקמת המדינה ומוסדות השלטון הזמניים / הפירוט ההיסטורי של הקשר בין העם לארצו / הפנייה למדינות ערב לשלום,ההכרזה על הקמת המדינה ומוסדות השלטון הזמניים,הכרזת העצמאות,רקע היסטורי והכרזת העצמאות,
אילו ערכים מופיעים בחלק השלישי (הצהרתי) של הכרזת העצמאות?,"ערכי החירות, הצדק והשלום והבטחת שוויון זכויות / רשימת המלחמות שעבר העם היהודי / הוראות להקמת צה""ל","ערכי החירות, הצדק והשלום והבטחת שוויון זכויות",הכרזת העצמאות,רקע היסטורי והכרזת העצמאות,
"מדוע נחשבת הכרזת העצמאות למסמך בעל חשיבות משפטית, למרות שאינה חוקה?",כי בתי המשפט משתמשים בה לפרשנות חוקים ברוח ערכיה / כי היא קובעת את גובה המיסים במדינה / כי היא מאפשרת לממשלה לפזר את הכנסת,כי בתי המשפט משתמשים בה לפרשנות חוקים ברוח ערכיה,הכרזת העצמאות,רקע היסטורי והכרזת העצמאות,
"מהו הרעיון המרכזי העומד בבסיס ""עקרון שלטון העם""?",האזרחים הם מקור הסמכות של השלטון במדינה / הממשלה רשאית לפעול ללא התחשבות בציבור / רק רוב העם רשאי לקבוע את החוקים,האזרחים הם מקור הסמכות של השלטון במדינה,עקרון שלטון העם,עקרונות הדמוקרטיה ושלטון החוק,
כיצד בא לידי ביטוי עקרון שלטון העם במדינה דמוקרטית מודרנית?,באמצעות בחירת נציגים שיפעלו בשם האזרחים / בכך שכל אזרח מחוקק לעצמו את החוקים / על ידי שלטון צבאי המגן על העם,באמצעות בחירת נציגים שיפעלו בשם האזרחים,עקרון שלטון העם,עקרונות הדמוקרטיה ושלטון החוק,
"מה ההבדל המרכזי בין ""דמוקרטיה ישירה"" ל""דמוקרטיה ייצוגית""?","בישירה האזרחים מחליטים בעצמם, בייצוגית הם בוחרים נציגים / בישירה יש מלך ובייצוגית יש נשיא / אין הבדל, אלו שמות שונים לאותו דבר","בישירה האזרחים מחליטים בעצם, בייצוגית הם בוחרים נציגים",עקרון שלטון העם,עקרונות הדמוקרטיה ושלטון החוק,
"מהו כלי של ""דמוקרטיה ישירה"" המשמש לעיתים גם בדמוקרטיות ייצוגיות?","משאל עם / בחירות לכנסת / הגשת עתירה לבג""ץ",משאל עם,דמוקרטיה ישירה,עקרונות הדמוקרטיה ושלטון החוק,
"מדוע ברוב המדינות המודרניות נהוגה ""דמוקרטיה ייצוגית"" ולא ""דמוקרטיה ישירה""?",בגלל גודל האוכלוסייה ומורכבות ניהול המדינה / כי לאזרחים אין זכות הצבעה / כי המנהיגים לא רוצים לשאול את העם,בגלל גודל האוכלוסייה ומורכבות ניהול המדינה,דמוקרטיה ייצוגית,עקרונות הדמוקרטיה ושלטון החוק,
